n_puncta,obs_frac_within,null_frac_within,null_frac_std,enrichment,obs_median_dist_um,null_median_dist_um,empirical_p,cell_id,n_z_slices,condition,well,fov,timepoint,plate,file_path
9,0.3333333333333333,0.09888888888888889,0.11043684302032676,0.23444444444444443,1.1718041645257928,3.4346841449554883,0.05970149253731343,15,12,KI,C20,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2
0,,,,,,,,16,12,KI,C20,1,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/Z60_PLD_TMEMki/PLD3TMEM106B_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C20_F1.nd2
4,0.25,0.0975,0.1516369018412075,0.1525,3.23870109093889,3.7149491721282377,0.3333333333333333,1,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
3,0.0,0.03333333333333333,0.10540925533894596,-0.03333333333333333,2.469663157418655,3.1445690296740354,1.0,2,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
7,0.14285714285714285,0.05071428571428571,0.08193763183180292,0.09214285714285714,5.415230578860151,5.261543720023378,0.31343283582089554,3,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
8,0.0,0.045,0.0685109480302236,-0.045,3.5447971506146443,2.7468645857139085,1.0,4,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
2,0.0,0.005,0.049749371855330994,-0.005,14.92247047244219,9.721717056958019,1.0,5,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
5,0.0,0.04,0.08944271909999159,-0.04,2.495607251863867,3.5216465010120794,1.0,6,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
4,0.0,0.02375,0.08138450405329015,-0.02375,6.029637147767908,4.769533798083579,1.0,7,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
5,0.0,0.08199999999999999,0.11347246362003428,-0.08199999999999999,3.4046638763776738,2.942607444561811,1.0,8,12,KO,C8,2,d7,Plate1,/Users/pmihack/claire/tmem_2026/data/cleaved_tmem_pld3_260821/d7/TMEM_KO/TMEMKO_Plate1_d7_TMEM561LAMP1640MAP2488DAPI405_C8_F2.nd2
