well,condition,timepoint_day,registration_channel,estimated_y_shift,estimated_x_shift,pre_registration_correlation,post_registration_correlation,overlap_fraction,registration_error,qc_pass,qc_note,row,column,common_crop
C16,PLD3_only_no_mCherry,12,488nm Binned,0.0,-985.5999755859375,-8.302075414688077e-05,-0.012232841895146932,0.6563458941471627,0.999999999999984,True,phase_cross_correlation_on_stable_channel,C,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1882}"
C16,PLD3_only_no_mCherry,16,488nm Binned,0.0,-673.5999755859375,0.007293970470825891,-0.007012791192471786,0.7651325050258238,0.999999999999987,True,phase_cross_correlation_on_stable_channel,C,16,"{'y_start': 0, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1882}"
C17,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C17,PLD3_only_no_mCherry,12,488nm Binned,0.0,703.2999877929688,0.004786857915608997,0.00533556496676274,0.7547768522339718,0.9999999999999799,True,phase_cross_correlation_on_stable_channel,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C17,PLD3_only_no_mCherry,16,488nm Binned,0.0,1187.5999755859375,-0.00015345968606150106,0.0050774681663568536,0.5859135371039269,0.9999999999999876,True,phase_cross_correlation_on_stable_channel,C,17,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1188, 'x_stop': 2868}"
C18,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C18,PLD3_only_no_mCherry,12,488nm Binned,0.0,1218.9000244140625,0.0015401796983765266,0.01098234165811006,0.5749999914874259,0.999999999999986,True,phase_cross_correlation_on_stable_channel,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C18,PLD3_only_no_mCherry,16,488nm Binned,0.0,-30.700000762939453,0.004664853041214308,0.006117144646353174,0.9892956761635497,0.9999999999999922,True,phase_cross_correlation_on_stable_channel,C,18,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1219, 'x_stop': 2837}"
C19,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C19,PLD3_only_no_mCherry,12,488nm Binned,0.0,479.0,0.0019704592377606384,-0.0039372417824448105,0.8329846582984658,0.9999999999999915,True,phase_cross_correlation_on_stable_channel,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C19,PLD3_only_no_mCherry,16,488nm Binned,0.0,1192.5,0.0006455835761419899,-0.002521706314410186,0.5842050209205021,0.9999999999999803,True,phase_cross_correlation_on_stable_channel,C,19,"{'y_start': 0, 'y_stop': 2868, 'x_start': 1193, 'x_stop': 2868}"
C20,PLD3_only_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,C,20,"{'y_start': 257, 'y_stop': 2162, 'x_start': 0, 'x_stop': 2868}"
C20,PLD3_only_no_mCherry,12,488nm Binned,256.8999938964844,0.0,0.007005443914858133,0.01184678444333029,0.9104253856706819,0.999999999999979,True,phase_cross_correlation_on_stable_channel,C,20,"{'y_start': 257, 'y_stop': 2162, 'x_start': 0, 'x_stop': 2868}"
C20,PLD3_only_no_mCherry,16,488nm Binned,-705.4000244140625,0.0,0.009598284305939167,0.003370395293129188,0.7540446218918889,0.9999999999999739,True,phase_cross_correlation_on_stable_channel,C,20,"{'y_start': 257, 'y_stop': 2162, 'x_start': 0, 'x_stop': 2868}"
D05,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,05,"{'y_start': 401, 'y_stop': 2657, 'x_start': 0, 'x_stop': 2868}"
D05,PLD3_TMEM106B_no_mCherry,12,488nm Binned,400.5,0.0,0.006990285485003964,0.002533854893376169,0.8603556485355649,0.9999999999999838,True,phase_cross_correlation_on_stable_channel,D,05,"{'y_start': 401, 'y_stop': 2657, 'x_start': 0, 'x_stop': 2868}"
D05,PLD3_TMEM106B_no_mCherry,16,488nm Binned,-210.10000610351562,0.0,0.02575023620542895,0.006873808336957959,0.926743373046194,0.9999999999999883,True,phase_cross_correlation_on_stable_channel,D,05,"{'y_start': 401, 'y_stop': 2657, 'x_start': 0, 'x_stop': 2868}"
D06,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,06,"{'y_start': 1058, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1866}"
D06,PLD3_TMEM106B_no_mCherry,12,488nm Binned,1057.5,0.0,0.0023870390815257615,-0.004533588793127784,0.6312761506276151,0.9999999999999729,True,phase_cross_correlation_on_stable_channel,D,06,"{'y_start': 1058, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1866}"
D06,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,-1001.7000122070312,0.013739530145197328,5.242587326829585e-05,0.6507322133169348,0.9999999999999828,True,phase_cross_correlation_on_stable_channel,D,06,"{'y_start': 1058, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1866}"
D07,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,07,"{'y_start': 534, 'y_stop': 2868, 'x_start': 99, 'x_stop': 2868}"
D07,PLD3_TMEM106B_no_mCherry,12,488nm Binned,0.0,98.0999984741211,0.010835587794177245,-0.00038290087661818764,0.9657949796115338,0.999999999999984,True,phase_cross_correlation_on_stable_channel,D,07,"{'y_start': 534, 'y_stop': 2868, 'x_start': 99, 'x_stop': 2868}"
D07,PLD3_TMEM106B_no_mCherry,16,488nm Binned,533.2000122070312,0.0,0.015131745960187269,0.004355576285889777,0.8140864671523601,0.9999999999999485,True,phase_cross_correlation_on_stable_channel,D,07,"{'y_start': 534, 'y_stop': 2868, 'x_start': 99, 'x_stop': 2868}"
D08,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,08,"{'y_start': 24, 'y_stop': 2458, 'x_start': 0, 'x_stop': 2868}"
D08,PLD3_TMEM106B_no_mCherry,12,488nm Binned,23.100000381469727,0.0,0.006539004034082301,0.0038715841196945524,0.9919456065615517,0.9999999999999708,True,phase_cross_correlation_on_stable_channel,D,08,"{'y_start': 24, 'y_stop': 2458, 'x_start': 0, 'x_stop': 2868}"
D08,PLD3_TMEM106B_no_mCherry,16,488nm Binned,-409.1000061035156,0.0,0.0049299081560162826,0.0018091721012363682,0.8573570411075608,0.9999999999999504,True,phase_cross_correlation_on_stable_channel,D,08,"{'y_start': 24, 'y_stop': 2458, 'x_start': 0, 'x_stop': 2868}"
D09,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,09,"{'y_start': 659, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1756}"
D09,PLD3_TMEM106B_no_mCherry,12,488nm Binned,658.0999755859375,0.0,-0.002040344535868493,-0.0037173009287565736,0.77053696806627,0.9999999999999825,True,phase_cross_correlation_on_stable_channel,D,09,"{'y_start': 659, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1756}"
D09,PLD3_TMEM106B_no_mCherry,16,488nm Binned,0.0,-1111.9000244140625,0.006985472791619987,-0.0024423724064231325,0.6123082202182488,0.9999999999999939,True,phase_cross_correlation_on_stable_channel,D,09,"{'y_start': 659, 'y_stop': 2868, 'x_start': 0, 'x_stop': 1756}"
D10,PLD3_TMEM106B_no_mCherry,8,488nm Binned,0.0,0.0,1.0,1.0,1.0,0.0,True,reference_timepoint,D,10,"{'y_start': 91, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
D10,PLD3_TMEM106B_no_mCherry,12,488nm Binned,38.599998474121094,0.0,0.0020175602857391522,-0.004559259656828916,0.9865411441861502,0.9999999999999756,True,phase_cross_correlation_on_stable_channel,D,10,"{'y_start': 91, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
D10,PLD3_TMEM106B_no_mCherry,16,488nm Binned,90.69999694824219,0.0,0.012732801904016345,0.00549980192836905,0.9683751754015892,0.9999999999999812,True,phase_cross_correlation_on_stable_channel,D,10,"{'y_start': 91, 'y_stop': 2868, 'x_start': 0, 'x_stop': 2868}"
